GEOID,MUNICIPALITY,STATE,WEBSITE_AVAILABLE,WEBSITE_URL
1600000US4853388,Odessa,Texas,1,https://www.odessa-tx.gov/
1600000US0980000,Waterbury,Connecticut,1,https://www.waterburyct.org/
1600000US1772000,Springfield,Illinois,1,https://www.springfield.il.us/
1600000US4841980,League City,Texas,1,https://www.leaguecity.com/
1600000US0619766,Downey,California,1,https://www.downeyca.org/
1600000US4131250,Gresham,Oregon,1,https://greshamoregon.gov/
1600000US3731400,High Point,North Carolina,1,https://www.highpointnc.gov/
1600000US4009050,Broken Arrow,Oklahoma,1,https://www.brokenarrowok.gov/
1600000US1759000,Peoria,Illinois,1,http://www.peoriagov.org/
1600000US2646000,Lansing,Michigan,1,https://www.lansingmi.gov/
1600000US1238250,Lakeland,Florida,1,https://www.lakelandgov.net/
1600000US1258050,Pompano Beach,Florida,1,https://pompanobeachfl.gov/
1600000US0616532,Costa Mesa,California,1,https://www.costamesaca.gov/
1600000US0862000,Pueblo,Colorado,1,https://www.pueblo.us/
1600000US4842508,Lewisville,Texas,1,https://www.cityoflewisville.com/
1600000US1245060,Miami Gardens,Florida,1,https://www.miamigardens-fl.gov/
1600000US3539380,Las Cruces,New Mexico,1,https://www.las-cruces.org/
1600000US4870808,Sugar Land,Texas,1,https://www.sugarlandtx.gov/
1600000US0650076,Murrieta,California,1,https://www.murrietaca.gov/
1600000US0665042,San Buenaventura (Ventura),California,1,https://www.cityofventura.ca.gov/
1600000US5322640,Everett,Washington,1,https://everettwa.gov/
1600000US0678120,Temecula,California,1,https://temeculaca.gov/
1600000US2621000,Dearborn,Michigan,1,https://cityofdearborn.org/
1600000US0669196,Santa Maria,California,1,https://www.cityofsantamaria.org/
1600000US0684200,West Covina,California,1,https://www.westcovina.org/
1600000US0622230,El Monte,California,1,https://www.ci.el-monte.ca.us/
1600000US0832155,Greeley,Colorado,1,https://greeleygov.com/
1600000US3268400,Sparks,Nevada,1,https://cityofsparks.us/
1600000US0812815,Centennial,Colorado,1,https://www.centennialco.gov/
1600000US0807850,Boulder,Colorado,1,https://bouldercolorado.gov/
1600000US1368516,Sandy Springs,Georgia,1,https://www.sandyspringsga.gov/
1600000US0636546,Inglewood,California,1,https://www.cityofinglewood.org/
1600000US1372122,South Fulton,Georgia,1,https://www.cityofsouthfultonga.gov/
1600000US5531000,Green Bay,Wisconsin,1,https://greenbaywi.gov/
1600000US0608954,Burbank,California,1,https://www.burbankca.gov/
1600000US5357745,Renton,Washington,1,https://rentonwa.gov/
1600000US4134100,Hillsboro,Oregon,1,https://www.hillsboro-oregon.gov/
1600000US0621712,El Cajon,California,1,https://www.cityofelcajon.us/
1600000US4874144,Tyler,Texas,1,https://www.cityoftyler.org/
1600000US1216475,Davie,Florida,1,https://www.davie-fl.gov/
1600000US0668252,San Mateo,California,1,https://www.cityofsanmateo.org/
1600000US2509000,Brockton,Massachusetts,1,https://brockton.ma.us/
